camera_traseira;velocidade_do_processador;url;chips;resolucao;tamanho_da_tela;modelo;memoria_ram;linha;preco;camera_frontal;marca;memoria_interna
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-sgh-v820.html;single;340 x 220;;sgh-v820;;;;;samsung;
5.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-new-chocolate-bl40.html;single;345 x 800;4.0;new chocolate bl40;;;;;lg;1.0
3.15 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-l4-ii-e467.html;dual;320 x 480;3.8;l4 ii e467;;optimus;;;lg;4.0
;;http://www.buscape.com.br/detalhes--celular-samsung-e1263-trios.html;tri;120 x 160;2.0;e1263 trios;;;;;samsung;
3.0 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-ex225.html;single;320 x 240;2.4;ex225;;;;;motorola;
3.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-kf510.html;single;240 x 320;2.2;kf510;;;;;lg;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-k750i.html;single;176 x 220;1.8;k750i;;;;;sony ericsson;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-mg320.html;single;176 x 220;;mg320;;;;;lg;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-n82.html;single;240 x 320;2.4;n82;;;;;nokia;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-t303.html;single;128 x 160;1.8;t303;;;;;sony ericsson;
12.1 megapixels;;http://www.buscape.com.br/detalhes--celular-vaic-c5000.html;dual;;3.2;c5000;;;;;vaic;
3.2 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-gt-c3752.html;dual;240 x 320;2.2;gt-c3752;;;;;samsung;
8.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-lg-prada-p940.html;single;480 x 800;4.3;prada p940;;;;1.3 megapixels frontal;lg;
3.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-ace-4-neo-duos-sm-g316ml.html;dual;480 x 800;4.0;4 neo duos sm-g316ml;;galaxy ace;;;samsung;4.0
12.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-6s-plus-64gb.html;single;1920 x 1080;5.5;6s plus 64gb;;iphone;;5.0 megapixels frontal;apple;64.0
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-leon-h342f.html;;854 x 480;4.5;leon h342f;;;;0.3 megapixels frontal;lg;8.0
;;http://www.buscape.com.br/detalhes--smartphone-positivo-s350.html;;;;s350;;;;;positivo;
3.0 megapixels;;http://www.buscape.com.br/detalhes--celular-multilaser-touch-p3160.html;tri;;2.8;touch p3160;;;;;multilaser;
3.2 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-3710.html;single;320 x 240;2.2;3710;;;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-chat-b5330.html;single;240 x 320;3.0;b5330;;galaxy chat;;;samsung;
;;http://www.buscape.com.br/detalhes--celular-lg-kp215.html;single;128 x 160;1.77;kp215;;;;;lg;
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-huawei-ideos-u8150.html;single;240 x 320;2.8;ideos u8150;;;;;huawei;
3.15 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-gt540.html;single;320 x 480;3.0;gt540;;optimus;;;lg;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-zte-smile-x630.html;single;;2.0;smile x630;;;;;zte;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-ch-t-527-gt-s5270.html;single;320 x 240;2.4;gt-s5270;;ch@t 527;;;samsung;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-w710.html;single;176 x 220;1.9;w710;;;;;sony ericsson;
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-e7.html;single;360 x 640;4.0;e7;;;;0.3 megapixels frontal;nokia;16.0
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-alcatel-pop-c3.html;;480 x 800;4.0;pop c3;;;;vga;alcatel;
13.0 megapixels;2.3;http://www.buscape.com.br/detalhes--smartphone-asus-zenfone-2-deluxe.html;dual;1920 x 1080;5.5;2 deluxe;4.0;zenfone;;5.0 megapixels frontal;asus;128.0
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-philco-500.html;dual;480 x 800;5.0;500;;;;0.3 megapixels frontal;philco;4.0
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-gu230.html;single;240 x 320;2.2;gu230;;;;;lg;
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-blackberry-bold-9700.html;single;480 x 360;2.4;bold 9700;;;;;blackberry;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-i886.html;single;320 x 240;2.2;i886;;;;;motorola;
;;http://www.buscape.com.br/detalhes--celular-samsung-gt-e1207.html;;;;gt-e1207;;;;;samsung;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-e72.html;single;320 x 240;2.36;e72;;;;0.3 megapixels frontal;nokia;
3.15 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-em35.html;single;320 x 240;2.2;em35;;;;;motorola;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-gs155.html;single;128 x 128;1.5;gs155;;;;;lg;
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-gw550.html;single;320 x 240;2.4;gw550;;;;;lg;
;;http://www.buscape.com.br/detalhes--celular-nokia-2600.html;single;128 x 128;;2600;;;;;nokia;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-v600.html;single;176 x 220;;v600;;;;;motorola;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-w510.html;single;176 x 220;1.9;w510;;;;;motorola;
5.0 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-sgh-g600.html;single;240 x 320;2.2;sgh-g600;;;;;samsung;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-6267.html;single;240 x 320;2.2;6267;;;;;nokia;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-w6.html;single;176 x 220;1.9;w6;;;;;motorola;
8.0 megapixels;1.7;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s4-mini-gt-i9190.html;single;540 x 960;4.3;s4 mini gt-i9190;;galaxy;1313.0;1.9 megapixels frontal;samsung;8.0
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-l65-dual-d285.html;dual;480 x 800;4.3;l65 dual d285;;;;;lg;1.0
5.0 megapixels;1.3;http://www.buscape.com.br/detalhes--smartphone-positivo-ypy-s500.html;dual;;5.0;ypy s500;;;;1.3 megapixels frontal;positivo;8.0
;;http://www.buscape.com.br/detalhes--smartphone-positivo-s440.html;;;;s440;;;;;positivo;
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-blackberry-storm-9500.html;single;360 x 480;3.2;storm 9500;;;;;blackberry;1.0
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-backflip.html;single;320 x 480;3.1;backflip;;;;;motorola;
;;http://www.buscape.com.br/detalhes--celular-navcity-kindu.html;dual;128 x 128;1.5;kindu;;;;;navcity;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-shine-slim-me770.html;single;176 x 220;;shine slim me770;;;;;lg;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-gravity-sgh-t459.html;single;176 x 220;2.1;gravity sgh-t459;;;;;samsung;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-navcity-gemini-tv.html;dual;;2.6;gemini tv;;;;1.3 megapixels frontal;navcity;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-j1-ace-sm-j110l.html;dual;480 x 800;4.3;j1 ace sm-j110l;;galaxy;;2.0 megapixels frontal;samsung;4.0
2 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-star-gt-s5283.html;tri;240 x 320;3.14;gt-s5283;;galaxy star;;;samsung;4.0
1.3 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-asha-230.html;dual;320 x 240;2.8;230;;asha;;;nokia;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-z320.html;single;128 x 160;;z320;;;;;sony ericsson;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-beat-pop-gt-m2310.html;single;176 x 220;2.0;beat pop gt-m2310;;;;;samsung;
3.0 megapixels;;http://www.buscape.com.br/detalhes--celular-multilaser-stylus-p3183.html;quadri;;2.4;stylus p3183;;;;;multilaser;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-alcatel-ot-355.html;dual;160 x 128;1.8;ot-355;;;;;alcatel;
3.2 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-beat-dj-gt-m7600.html;single;240 x 400;2.8;beat dj gt-m7600;;;;;samsung;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-k300i.html;single;128 x 128;;k300i;;;;;sony ericsson;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-gt-c3050.html;single;120 x 160;2.0;gt-c3050;;;;;samsung;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-samsung-wave-gt-s8500.html;single;480 x 800;3.3;gt-s8500;;wave;;;samsung;2.0
;;http://www.buscape.com.br/detalhes--celular-meu-210.html;dual;;1.44;210;;;;;meu;
13.0 megapixels;1.6;http://www.buscape.com.br/detalhes--smartphone-asus-zenfone-6-32gb.html;dual;1280 x 720;6.0;6 32gb;;zenfone;;2.0 megapixels frontal;asus;32.0
1.3 megapixels;;http://www.buscape.com.br/detalhes--multilaser-star-dual-tv.html;;;2.4;dual tv;;star;;;multilaser;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-rokr-w5.html;single;176 x 220;1.9;w5;;rokr;;;motorola;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-motogo.html;;320 x 240;2.2;motogo;;;;;motorola;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-1680.html;single;128 x 160;1.85;1680;;;;;nokia;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-e398.html;single;176 x 220;1.9;e398;;;;;motorola;
;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-t290.html;single;101 x 80;;t290;;;;;sony ericsson;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-6125.html;single;128 x 160;;6125;;;;;nokia;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-titanium.html;single;320 x 480;3.1;titanium;;;;;motorola;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-c299.html;quadri;240 x 320;2.2;c299;;;;;lg;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-multilaser-fit.html;tri;;1.8;fit;;;;;multilaser;
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-motorola-iron-rock-xt626.html;dual;;4.3;iron rock xt626;;;;1.3 megapixels frontal;motorola;1.0
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-cce-mobi-qw20.html;dual;320 x 240;2.3;mobi qw20;;;;;cce;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-cce-mobi-s11.html;dual;320 x 240;2.3;mobi s11;;;;;cce;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-trend-gt-s7560.html;;480 x 800;3.97;gt-s7560;;galaxy trend;;vga;samsung;4.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-c2-02.html;single;240 x 320;2.6;c2-02;;;;;nokia;
;;http://www.buscape.com.br/detalhes--celular-alcatel-ot-678.html;tri;;;ot-678;;;;;alcatel;
3.0 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-ex118.html;single;320 x 240;2.4;ex118;;;;;motorola;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-16gb.html;single;480 x 320;;16gb;;iphone;;;apple;16.0
;;http://www.buscape.com.br/detalhes--celular-meu-sn61.html;;220 x 176;2.2;sn61;;;;;meu;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-6131.html;single;240 x 320;2.2;6131;;;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-gradiente-gf-970.html;single;;;gf-970;;;;;gradiente;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-6085.html;single;128 x 160;;6085;;;;;nokia;
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-sony-ericsson-xperia-x1.html;single;800 x 480;3.0;x1;;xperia;;;sony ericsson;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-gt-s3550.html;single;240 x 320;2.0;gt-s3550;;;;;samsung;
;;http://www.buscape.com.br/detalhes--celular-nokia-c1-01.html;single;128 x 160;1.8;c1-01;;;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-c300.html;single;240 x 320;2.2;c300;;;;;lg;
2.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-multilaser-orion.html;dual;480 x 320;3.5;órion;;;;;multilaser;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-samsung-nexus-s-gt-i9020.html;single;480 x 800;4.0;nexus s gt-i9020;;;;0.3 megapixels frontal;samsung;16.0
2 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-rex-60-gt-c3313.html;dual;240 x 320;2.8;60 gt-c3313;;rex;;;samsung;
;;http://www.buscape.com.br/detalhes--celular-samsung-gt-c3313.html;;;;gt-c3313;;;;;samsung;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-6020.html;single;128 x 128;1.5;6020;;;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-zte-x990.html;single;320 x 240;2.5;x990;;;;;zte;
3.15 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-xt389.html;single;320 x 480;3.5;xt389;;;;;motorola;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-wave-w-gt-s5380.html;single;320 x 480;3.2;w gt-s5380;;wave;;;samsung;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-a230.html;dual;128 x 160;1.77;a230;;;;;lg;
;;http://www.buscape.com.br/detalhes--celular-lg-linx-mg370.html;single;128 x 128;1.5;linx mg370;;;;;lg;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-wink-t500.html;;240 x 320;2.8;wink t500;;;;;lg;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-e65.html;single;240 x 320;2.2;e65;;;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-alcatel-ot-800.html;single;320 x 240;2.2;ot-800;;;;;alcatel;
0.1 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-7250i.html;single;128 x 128;;7250i;;;;;nokia;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-siemens-sl75.html;single;132 x 176;;sl75;;;;;siemens;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-rokr-e2.html;single;240 x 320;2.0;e2;;rokr;;;motorola;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-gradiente-cardphone-gf-500.html;single;;;cardphone gf-500;;;;;gradiente;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-razr2-v9.html;single;240 x 320;2.2;v9;;razr2;;;motorola;
;;http://www.buscape.com.br/detalhes--celular-samsung-gt-e1075.html;single;128 x 128;;gt-e1075;;;;;samsung;
;;http://www.buscape.com.br/detalhes--celular-navcity-dvini-tv-np-826.html;dual;;;dvini tv np-826;;;;;navcity;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-gd880-mini.html;single;480 x 854;3.2;gd880 mini;;;;;lg;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-samsung-omnia-m-s7530.html;single;480 x 800;4.0;m s7530;;omnia;;0.3 megapixels frontal;samsung;
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-qbex-qx-a18.html;dual;;4.5;qx a18;;;;0.3 megapixels frontal;qbex;
3.15 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-l4-ii-dual-e445.html;dual;320 x 480;3.8;l4 ii dual e445;;optimus;;;lg;4.0
;;http://www.buscape.com.br/detalhes--celular-alcatel-ot-208.html;single;128 x 128;1.45;ot-208;;;;;alcatel;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-ch-t-357-duos-gt-s3572.html;dual;240 x 320;2.4;duos gt-s3572;;ch@t 357;;;samsung;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-i897.html;single;;;i897;;;;;motorola;
;;http://www.buscape.com.br/detalhes--celular-alcatel-ot-217.html;;128 x 128;1.45;ot-217;;;;;alcatel;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-neosmart-c365.html;;240 x 320;2.3;neosmart c365;;;;;lg;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-blackberry-bold-9000.html;single;480 x 320;2.6;bold 9000;;;;;blackberry;1.0
;;http://www.buscape.com.br/detalhes--celular-motorola-c115.html;single;;;c115;;;;;motorola;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-5220.html;single;240 x 320;2.0;5220;;;;;nokia;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-v300.html;single;176 x 220;;v300;;;;;motorola;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-z550.html;single;176 x 220;;z550;;;;;sony ericsson;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-crystal-mg235.html;single;128 x 128;;crystal mg235;;;;;lg;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-gw620.html;single;320 x 480;3.0;gw620;;;;;lg;
5.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-gm360.html;single;240 x 400;3.0;gm360;;;;;lg;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-wx294.html;dual;128 x 160;1.8;wx294;;;;;motorola;
;;http://www.buscape.com.br/detalhes--smartphone-multilaser-ms5-p3272.html;;;;ms5 - p3272;;;;;multilaser;
3.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-ace-4-neo-sm-g318m.html;dual;480 x 800;4.0;4 neo sm-g318m;;galaxy ace;;;samsung;4.0
13.0 megapixels;1.4;http://www.buscape.com.br/detalhes--smartphone-motorola-moto-g-3-geracao-xt1543-2gb-ram-16gb.html;dual;1280 x 720;5.0;3ª geração xt1543 2gb ram 16gb;2.0;moto g;;5.0 megapixels frontal;motorola;16.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-c398.html;tri;240 x 320;2.3;c398;;;;;lg;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-blackberry-torch-9860.html;single;480 x 800;3.7;torch 9860;;;;;blackberry;
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-blackberry-bold-touch-9900.html;;640 x 480;2.8;bold touch 9900;;;;;blackberry;
3.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-motorola-i867.html;dual;320 x 480;3.1;i867;;;;;motorola;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-alcatel-ot-808.html;single;320 x 240;2.4;ot-808;;;;;alcatel;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-multilaser-mercury.html;;;2.6;mercury;;;;;multilaser;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-gt-b6520.html;single;320 x 240;2.4;gt-b6520;;;;;samsung;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-onda-otv1000.html;single;;;otv1000;;;;;onda;
;;http://www.buscape.com.br/detalhes--celular-lg-mg377.html;single;128 x 128;;mg377;;;;;lg;
;;http://www.buscape.com.br/detalhes--celular-nokia-2300.html;;;;2300;;;;;nokia;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-sgh-c500.html;single;128 x 160;;sgh-c500;;;;;samsung;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-e61i.html;single;320 x 240;2.8;e61i;;;;;nokia;
3.15 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-cookie-kp500.html;single;240 x 400;3.0;cookie kp500;;;;;lg;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-723-wave-gt-s7230.html;single;240 x 400;3.2;723 wave gt-s7230;;;;;samsung;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-cce-mobi-qw35.html;dual;320 x 240;;mobi qw35;;;;;cce;
4.0 megapixels;1.7;http://www.buscape.com.br/detalhes--smartphone-htc-one.html;single;1080 x 1920;4.7;one;;;;2.1 megapixels frontal;htc;
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-lg-f60-d392.html;;400 x 800;4.5;f60 d392;;;;1.3 megapixels frontal;lg;4.0
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-positivo-s400.html;dual;800 x 480;4.0;s400;;;578.0;0.3 megapixels frontal;positivo;4.0
8.0 megapixels;1.3;http://www.buscape.com.br/detalhes--smartphone-alcatel-one-touch-pop-c9.html;dual;960 x 540;5.5;one touch pop c9;;;617.0;2.0 megapixels frontal;alcatel;4.0
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-grand-neo-duos-gt-i9060.html;;480 x 800;5.0;neo duos gt-i9060;;galaxy grand;;1.3 megapixels frontal;samsung;8.0
;;http://www.buscape.com.br/detalhes--smartphone-meu-an400.html;;;;an400;;;;;meu;
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-blu-life-play-l100.html;;1280 x 720;4.7;l100;;life play;;2.0 megapixels frontal;blu;4.0
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-i475.html;dual;176 x 220;2.0;i475;;;;;motorola;
2.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-blu-dash-jr-d140.html;dual;320 x 480;3.5;d140;;dash jr;;;blu;
3.0 megapixels;;http://www.buscape.com.br/detalhes--celular-multilaser-fast-p3170.html;dual;;2.4;fast p3170;;;;;multilaser;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-gradiente-gf-690.html;single;128 x 128;;gf-690;;;;;gradiente;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-mirage-star.html;dual;;2.0;;;star;;;mirage;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-v555.html;single;176 x 220;;v555;;;;;motorola;
;;http://www.buscape.com.br/detalhes--celular-nokia-1108.html;single;;;1108;;;;;nokia;
;;http://www.buscape.com.br/detalhes--celular-nokia-1110.html;single;96 x 68;;1110;;;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-w910.html;single;240 x 320;;w910;;;;;sony ericsson;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-w218.html;single;128 x 128;1.6;w218;;;;;motorola;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-gt-b3310.html;single;240 x 320;2.0;gt-b3310;;;;;samsung;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-gt-e2121.html;single;128 x 128;1.5;gt-e2121;;;;;samsung;
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-positivo-s550.html;dual;;5.5;s550;;;;2.0 megapixels frontal;positivo;4.0
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-ace-4-duos-sm-g316m.html;dual;480 x 800;4.0;4 duos sm-g316m;;galaxy ace;;1.3 megapixels frontal;samsung;4.0
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-blu-studio-5-0-d530.html;dual;480 x 800;5.0;5.0 d530;;studio;;;blu;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-motokey-ex116.html;;;2.0;motokey ex116;;;;;motorola;
3.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-l3.html;;240 x 320;3.2;l3;;optimus;;;lg;
;;http://www.buscape.com.br/detalhes--celular-gradiente-gc100sr.html;;;;gc100sr;;;;;gradiente;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-gd330.html;single;240 x 320;2.0;gd330;;;;;lg;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-6120.html;single;320 x 240;;6120;;;;;nokia;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-km386.html;single;240 x 320;1.7;km386;;;;;lg;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-7200.html;;128 x 128;;7200;;;;;nokia;
;;http://www.buscape.com.br/detalhes--celular-samsung-sgh-a800.html;single;128 x 128;;sgh-a800;;;;;samsung;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-v360.html;single;176 x 220;1.9;v360;;;;;motorola;
1.2 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-v3e.html;single;176 x 220;;v3e;;;;;motorola;
5.0 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-sgh-u900.html;single;240 x 320;2.2;sgh-u900;;;;;samsung;
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-gradiente-neo-one-gc-500.html;dual;320 x 480;3.7;neo one gc 500;;;;0.3 megapixels frontal;gradiente;2.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-l20-d107.html;tri;320 x 240;3.0;l20 d107;;;;;lg;4.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-blackberry-pearl-flip-8220.html;single;240 x 320;2.6;pearl flip 8220;;;;;blackberry;
3.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-fame-lite-gt-s6792.html;;;3.5;gt-s6792;;galaxy fame lite;;;samsung;4.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-prada-me850.html;single;240 x 400;;prada me850;;;;;lg;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-sgh-e700.html;single;128 x 160;;sgh-e700;;;;;samsung;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-alcatel-ot-810.html;dual;320 x 240;2.4;ot-810;;;;;alcatel;
2 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-asha-308.html;dual;240 x 400;3.0;308;;asha;;;nokia;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-gb230.html;single;176 x 220;2.0;gb230;;;;;lg;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-town-c300.html;single;240 x 320;2.2;town c300;;;;;lg;
2.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-wink-e300.html;single;240 x 320;2.8;wink e300;;;;;lg;
3.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-km710.html;single;240 x 320;;km710;;;;;lg;
;;http://www.buscape.com.br/detalhes--celular-nokia-2650.html;single;;;2650;;;;;nokia;
;;http://www.buscape.com.br/detalhes--celular-gradiente-indie-gx-3.html;single;;;indie gx-3;;;;;gradiente;
;;http://www.buscape.com.br/detalhes--celular-nokia-1600.html;single;96 x 68;;1600;;;;;nokia;
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-gradiente-gf-930.html;single;;;gf-930;;;;;gradiente;
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-sony-ericsson-z250.html;single;128 x 160;;z250;;;;;sony ericsson;
