camera_traseira;velocidade_do_processador;url;chips;resolucao;tamanho_da_tela;modelo;memoria_ram;linha;preco;camera_frontal;marca;memoria_interna
8.0 megapixels;;http://www.buscape.com.br/smartphone-samsung-galaxy-j3-sm-j320m;dual;1280 x 720;5.0;j3 sm-j320m;;galaxy;554.23;5.0 megapixels frontal;samsung;
16.0 megapixels;2.0;http://www.buscape.com.br/smartphone-asus-zenfone-3-ze520kl;dual;1920 x 1080;5.2;3 ze520kl;3.0;zenfone;1231.12;8.0 megapixels frontal;asus;32.0
13.0 megapixels;1.3;http://www.buscape.com.br/smartphone-lg-x-power-k220;dual;1280 x 720;5.3;x power k220;2.0;;619.0;5.0 megapixels frontal;lg;16.0
13.0 megapixels;1.25;http://www.buscape.com.br/smartphone-asus-zenfone-3-max-zc520tl;dual;1280 x 720;5.2;3 max zc520tl;2.0;zenfone;783.19;5.0 megapixels frontal;asus;16.0
5.0 megapixels;1.2;http://www.buscape.com.br/smartphone-asus-zenfone-go-8gb;dual;854 x 480;4.5;go 8gb;1.0;zenfone;464.55;1.3 megapixels frontal;asus;8.0
12.0 megapixels;;http://www.buscape.com.br/smartphone-apple-iphone-6s-128gb;single;1334 x 750;4.7;6s 128gb;;iphone;2991.12;5.0 megapixels frontal;apple;128.0
13.0 megapixels;1.5;http://www.buscape.com.br/smartphone-asus-zenfone-go-live;dual;;5.5;go live;2.0;zenfone;729.97;5.0 megapixels frontal;asus;16.0
8.0 megapixels;1.3;http://www.buscape.com.br/smartphone-alcatel-pixi-4-5-5010;;854 x 480;5.0;pixi 4 (5) 5010;1.0;;357.9;8.0 megapixels frontal;alcatel;8.0
12.0 megapixels;;http://www.buscape.com.br/smartphone-samsung-galaxy-s7-edge-sm-g935-128gb;single;2560 x 1440;5.5;s7 edge sm-g935 128gb;4.0;galaxy;2639.12;5.0 megapixels frontal;samsung;128.0
13.0 megapixels;2.35;http://www.buscape.com.br/smartphone-lg-g6-h870;single;2880 x 1440;5.7;g6 h870;4.0;;2266.09;5.0 megapixels frontal;lg;32.0
23 megapixels;;http://www.buscape.com.br/smartphone-sony-xperia-xa1;dual;1280 x 720;5.0;xa1;3.0;xperia;1401.65;8.0 megapixels frontal;sony;32.0
8.0 megapixels;1.3;http://www.buscape.com.br/smartphone-motorola-moto-c-plus-xt1726;dual;1280 x 720;5.0;plus xt1726;1.0;moto c;594.15;2.0 megapixels frontal;motorola;8.0
8.0 megapixels;1.3;http://www.buscape.com.br/smartphone-asus-zenfone-go-16gb;dual;1280 x 720;5.0;go 16gb;;zenfone;548.01;2.0 megapixels frontal;asus;16.0
